线路一,#genre#
NewTV精品体育 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225709/index.m3u8
NewTV精品大剧 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225714/index.m3u8
NewTV精品纪录,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225710/index.m3u8
NewTV超级体育 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225622/index.m3u8
NewTV超级体育 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225648/index.m3u8
NewTV超级体育,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225767/index.m3u8
NewTV超级电影 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225623/index.m3u8
NewTV超级电影,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225766/index.m3u8
NewTV超级电视剧 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225625/index.m3u8
NewTV超级电视剧,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225765/index.m3u8
NewTV超级综艺 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225620/index.m3u8
NewTV超级综艺,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225768/index.m3u8
NewTV金牌综艺 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225711/index.m3u8
动漫秀场 ,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221225977/3.m3u8
动漫秀场 ,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226145/1.m3u8
极速汽车 ,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226152/1.m3u8
欢笑剧场 ,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226144/1.m3u8
游戏风云 ,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226146/1.m3u8
生活时尚 ,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226140/1.m3u8
都市剧场 ,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226143/1.m3u8
上海新闻综合,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221225973/3.m3u8
上海新闻综合,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226135/3.m3u8
上海ICS,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226136/3.m3u8
